diagnosis_key,disease_area,disease_name,diag3_raw,diag3_code,diag3_description,diag4_raw,diag4_code,diag4_description
170,ENDOCRINE & METABOLIC,LIPIDEMIAS,E78 (DIS-LIPOPROT MET/LIPIDM),E78,DIS-LIPOPROT MET/LIPIDM,E784 (OTHER HYPERLIPIDAEMIA),E784,OTHER HYPERLIPIDAEMIA
171,ENDOCRINE & METABOLIC,LIPIDEMIAS,E78 (DIS-LIPOPROT MET/LIPIDM),E78,DIS-LIPOPROT MET/LIPIDM,E785 (HYPERLIPIDAEMIA UNSP),E785,HYPERLIPIDAEMIA UNSP
172,ENDOCRINE & METABOLIC,LIPIDEMIAS,E78 (DIS-LIPOPROT MET/LIPIDM),E78,DIS-LIPOPROT MET/LIPIDM,E789 (DIS LIPOPROT METAB UNSP),E789,DIS LIPOPROT METAB UNSP
173,ENDOCRINE & METABOLIC,OBESITY,E66 (OBESITY),E66,OBESITY,E660 (OBESITY-EXCESS CALS),E660,OBESITY-EXCESS CALS
174,ENDOCRINE & METABOLIC,OBESITY,E66 (OBESITY),E66,OBESITY,E669 (OBESITY UNSPECIFIED),E669,OBESITY UNSPECIFIED
175,ENDOCRINE & METABOLIC,OTHER THYROID DISORDERS,E04 (OTHER NONTOXIC GOITRE),E04,OTHER NONTOXIC GOITRE,E040 (NONTOXIC DIFFUSE GOITRE),E040,NONTOXIC DIFFUSE GOITRE
176,ENDOCRINE & METABOLIC,OTHER THYROID DISORDERS,E04 (OTHER NONTOXIC GOITRE),E04,OTHER NONTOXIC GOITRE,E049 (NONTOXIC GOITRE UNSP),E049,NONTOXIC GOITRE UNSP
177,ENDOCRINE & METABOLIC,OTHER THYROID DISORDERS,E05 (THYROTOXICOSIS),E05,THYROTOXICOSIS,E050 (THYROTOX+DIFF GOITRE),E050,THYROTOX+DIFF GOITRE
178,ENDOCRINE & METABOLIC,OTHER THYROID DISORDERS,E05 (THYROTOXICOSIS),E05,THYROTOXICOSIS,E051 (THYROTOX+TOXL THYR NOD),E051,THYROTOX+TOXL THYR NOD
179,ENDOCRINE & METABOLIC,OTHER THYROID DISORDERS,E05 (THYROTOXICOSIS),E05,THYROTOXICOSIS,E052 (THYROTOX+TOX M/ND GOITRE),E052,THYROTOX+TOX M/ND GOITRE
180,ENDOCRINE & METABOLIC,OTHER THYROID DISORDERS,E05 (THYROTOXICOSIS),E05,THYROTOXICOSIS,E053 (THYROTOX-ECTOP THYR TISS),E053,THYROTOX-ECTOP THYR TISS
181,ENDOCRINE & METABOLIC,OTHER THYROID DISORDERS,E05 (THYROTOXICOSIS),E05,THYROTOXICOSIS,E055 (THYROID CRISIS OR STORM),E055,THYROID CRISIS OR STORM
182,ENDOCRINE & METABOLIC,OTHER THYROID DISORDERS,E05 (THYROTOXICOSIS),E05,THYROTOXICOSIS,E059 (THYROTOXICOSIS UNSP),E059,THYROTOXICOSIS UNSP
183,ENDOCRINE & METABOLIC,OTHER THYROID DISORDERS,E06 (THYROIDITIS),E06,THYROIDITIS,E060 (ACUTE THYROIDITIS),E060,ACUTE THYROIDITIS
184,ENDOCRINE & METABOLIC,OTHER THYROID DISORDERS,E06 (THYROIDITIS),E06,THYROIDITIS,E061 (SUBACUTE THYROIDITIS),E061,SUBACUTE THYROIDITIS
185,ENDOCRINE & METABOLIC,OTHER THYROID DISORDERS,E06 (THYROIDITIS),E06,THYROIDITIS,E063 (AUTOIMMUNE THYROIDITIS),E063,AUTOIMMUNE THYROIDITIS
186,ENDOCRINE & METABOLIC,OTHER THYROID DISORDERS,E06 (THYROIDITIS),E06,THYROIDITIS,E065 (OTH CHRONIC THYROIDITIS),E065,OTH CHRONIC THYROIDITIS
187,ENDOCRINE & METABOLIC,OTHER THYROID DISORDERS,E06 (THYROIDITIS),E06,THYROIDITIS,E069 (THYROIDITIS UNSPECIFIED),E069,THYROIDITIS UNSPECIFIED
188,ENDOCRINE & METABOLIC,OTHER THYROID DISORDERS,E07 (OTH DISORDERS OF THYROID),E07,OTH DISORDERS OF THYROID,E078 (OTH SPEC DIS OF THYROID),E078,OTH SPEC DIS OF THYROID
189,ENDOCRINE & METABOLIC,OTHER THYROID DISORDERS,E07 (OTH DISORDERS OF THYROID),E07,OTH DISORDERS OF THYROID,E079 (DIS OF THYROID UNSP),E079,DIS OF THYROID UNSP
190,GASTROENTEROLOGY,ALCOHOLIC LIVER DISEASE,K70 (ALCOHOLIC LIVER DISEASE),K70,ALCOHOLIC LIVER DISEASE,K703 (ALCOHOLIC CIRRHOS LIVER),K703,ALCOHOLIC CIRRHOS LIVER
191,GASTROENTEROLOGY,ALCOHOLIC LIVER DISEASE,K70 (ALCOHOLIC LIVER DISEASE),K70,ALCOHOLIC LIVER DISEASE,K709 (ALCOHOLIC LIVER DIS UNSP),K709,ALCOHOLIC LIVER DIS UNSP
192,GASTROENTEROLOGY,GASTRIC ULCER,K25 (GASTRIC ULCER),K25,GASTRIC ULCER,K255 (GAS ULC CHR/UNSP+PERF),K255,GAS ULC CHR/UNSP+PERF
193,GENITOURINARY,CHRONIC KIDNEY DISEASE,N18 (CHRONIC KIDNEY DISEASE),N18,CHRONIC KIDNEY DISEASE,N183 (CHR KIDNEY DISEA STAGE 3),N183,CHR KIDNEY DISEA STAGE 3
194,GENITOURINARY,CHRONIC KIDNEY DISEASE,N18 (CHRONIC KIDNEY DISEASE),N18,CHRONIC KIDNEY DISEASE,N184 (CHR KIDNEY DISEA STAGE 4),N184,CHR KIDNEY DISEA STAGE 4
195,GENITOURINARY,CHRONIC KIDNEY DISEASE,N18 (CHRONIC KIDNEY DISEASE),N18,CHRONIC KIDNEY DISEASE,N185 (CHR KIDNEY DISEA STAGE 5),N185,CHR KIDNEY DISEA STAGE 5
196,GENITOURINARY,CHRONIC KIDNEY DISEASE,N18 (CHRONIC KIDNEY DISEASE),N18,CHRONIC KIDNEY DISEASE,N188 (RECLASSIFIED 2012 TO N18),N188,RECLASSIFIED 2012 TO N18
197,GENITOURINARY,CHRONIC KIDNEY DISEASE,N18 (CHRONIC KIDNEY DISEASE),N18,CHRONIC KIDNEY DISEASE,N189 (CHR KIDNEY DISEASE UNSP),N189,CHR KIDNEY DISEASE UNSP
198,GENITOURINARY,HYPERTENSIVE DISORDERS IN CHILDBIRTH,O10 (PRE EX HP COMP PR/CH/PRP),O10,PRE EX HP COMP PR/CH/PRP,O109 (UNS PRE EX HP COMP P/C/P),O109,UNS PRE EX HP COMP P/C/P
199,GENITOURINARY,HYPERTENSIVE DISORDERS IN CHILDBIRTH,O11 (P/EX HYTN DS+S/IMP PROT),O11,P/EX HYTN DS+S/IMP PROT,O110 (P/EX HYTN DS+S/IMP PROT),O110,P/EX HYTN DS+S/IMP PROT
200,GENITOURINARY,HYPERTENSIVE DISORDERS IN CHILDBIRTH,O13 (GEST HP WO SIG PROTEIN),O13,GEST HP WO SIG PROTEIN,O130 (GEST HP WO SIG PROTEIN),O130,GEST HP WO SIG PROTEIN
201,GENITOURINARY,HYPERTENSIVE DISORDERS IN CHILDBIRTH,O14 (GEST HP W SIG PROTEIN),O14,GEST HP W SIG PROTEIN,O140 (MODERATE PRE ECLAMPSIA),O140,MODERATE PRE ECLAMPSIA
202,GENITOURINARY,HYPERTENSIVE DISORDERS IN CHILDBIRTH,O14 (GEST HP W SIG PROTEIN),O14,GEST HP W SIG PROTEIN,O141 (SEVERE PRE ECLAMPSIA),O141,SEVERE PRE ECLAMPSIA
203,GENITOURINARY,HYPERTENSIVE DISORDERS IN CHILDBIRTH,O14 (GEST HP W SIG PROTEIN),O14,GEST HP W SIG PROTEIN,O149 (PRE ECLAMPSIA UNSP),O149,PRE ECLAMPSIA UNSP
204,GENITOURINARY,HYPERTENSIVE DISORDERS IN CHILDBIRTH,O15 (ECLAMPSIA),O15,ECLAMPSIA,O150 (ECLAMPSIA IN PREGNANCY),O150,ECLAMPSIA IN PREGNANCY
205,GENITOURINARY,HYPERTENSIVE DISORDERS IN CHILDBIRTH,O15 (ECLAMPSIA),O15,ECLAMPSIA,O151 (ECLAMPSIA IN LABOUR),O151,ECLAMPSIA IN LABOUR
206,GENITOURINARY,HYPERTENSIVE DISORDERS IN CHILDBIRTH,O15 (ECLAMPSIA),O15,ECLAMPSIA,O152 (ECLAMPSIA PUERP),O152,ECLAMPSIA PUERP
207,GENITOURINARY,HYPERTENSIVE DISORDERS IN CHILDBIRTH,O16 (UNSP MATERNAL HYPERT),O16,UNSP MATERNAL HYPERT,O160 (UNSP MATERNAL HYPERT),O160,UNSP MATERNAL HYPERT
208,GENITOURINARY,MENOPAUSAL DISORDERS,N95 (MENOP/O/PERIMENOP DIS),N95,MENOP/O/PERIMENOP DIS,N951 (MENOPAUS/FM CLIMAC STATE),N951,MENOPAUS/FM CLIMAC STATE
209,GENITOURINARY,MENOPAUSAL DISORDERS,N95 (MENOP/O/PERIMENOP DIS),N95,MENOP/O/PERIMENOP DIS,N952 (POSTMENOPAUS ATROPH VAG),N952,POSTMENOPAUS ATROPH VAG
210,GENITOURINARY,MENOPAUSAL DISORDERS,N95 (MENOP/O/PERIMENOP DIS),N95,MENOP/O/PERIMENOP DIS,N958 (O/SPEC MENOP/PERIMEN DIS),N958,O/SPEC MENOP/PERIMEN DIS
211,GENITOURINARY,MENOPAUSAL DISORDERS,N95 (MENOP/O/PERIMENOP DIS),N95,MENOP/O/PERIMENOP DIS,N959 (MENOP/PERIMEN DIS UNSP),N959,MENOP/PERIMEN DIS UNSP
212,GENITOURINARY,NEPHROTIC SYNDROME,N03 (CHR NEPHRITIC SYNDROME),N03,CHR NEPHRITIC SYNDROME,N031 (CH NEPH SYN FOC/SEG GLOM),N031,CH NEPH SYN FOC/SEG GLOM
213,GENITOURINARY,NEPHROTIC SYNDROME,N03 (CHR NEPHRITIC SYNDROME),N03,CHR NEPHRITIC SYNDROME,N039 (CHRON NEPHRITIC SYN UNSP),N039,CHRON NEPHRITIC SYN UNSP
214,GENITOURINARY,NEPHROTIC SYNDROME,N05 (UNSP NEPHRITIC SYNDROME),N05,UNSP NEPHRITIC SYNDROME,N050 (UNS NEP SYN MIN GLOM ABN),N050,UNS NEP SYN MIN GLOM ABN
215,GENITOURINARY,NEPHROTIC SYNDROME,N05 (UNSP NEPHRITIC SYNDROME),N05,UNSP NEPHRITIC SYNDROME,N051 (UNS NEP SYN FOC/SEG GLOM),N051,UNS NEP SYN FOC/SEG GLOM
216,GENITOURINARY,NEPHROTIC SYNDROME,N05 (UNSP NEPHRITIC SYNDROME),N05,UNSP NEPHRITIC SYNDROME,N052 (UNS NEP SYN DIF MEM GLOM),N052,UNS NEP SYN DIF MEM GLOM
217,GENITOURINARY,NEPHROTIC SYNDROME,N05 (UNSP NEPHRITIC SYNDROME),N05,UNSP NEPHRITIC SYNDROME,N053 (UNS NEP SYN MES PRO GLOM),N053,UNS NEP SYN MES PRO GLOM
218,GENITOURINARY,NEPHROTIC SYNDROME,N05 (UNSP NEPHRITIC SYNDROME),N05,UNSP NEPHRITIC SYNDROME,N055 (UNS NEPH SYN MESCAP GLOM),N055,UNS NEPH SYN MESCAP GLOM
219,GENITOURINARY,NEPHROTIC SYNDROME,N05 (UNSP NEPHRITIC SYNDROME),N05,UNSP NEPHRITIC SYNDROME,N059 (UNS NEPHRITIC SYN UNSP),N059,UNS NEPHRITIC SYN UNSP
220,GENITOURINARY,PERINATAL DISORDERS,P70 (TRNS DS-C/HY MET-FT/NB),P70,TRNS DS-C/HY MET-FT/NB,P701 (SYND INFNT OF DIAB MOTH),P701,SYND INFNT OF DIAB MOTH
221,MUSCULOSKELETAL,FIBROMYALGIA,M79 (OTH SOFT TISS DIS NEC),M79,OTH SOFT TISS DIS NEC,M797 (FIBROMYALGIA),M797,FIBROMYALGIA
222,MUSCULOSKELETAL,PAIN IN JOINT,M25 (OTH JOINT DISORDERS NEC),M25,OTH JOINT DISORDERS NEC,M255 (PAIN IN JOINT),M255,PAIN IN JOINT
223,ONCOLOGY,ONCOLOGY UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED
224,OTHERS,IMPLANT,Z45 (ADJ/MANAGE IMPLANT DEV),Z45,ADJ/MANAGE IMPLANT DEV,Z450 (ADJ/MANAG CARD PACEMAKER),Z450,ADJ/MANAG CARD PACEMAKER
225,OTHERS,IMPLANT,Z95 (CARDIAC/VASC IMPL/GRAFT),Z95,CARDIAC/VASC IMPL/GRAFT,Z950 (CARDIAC PACEMAKER),Z950,CARDIAC PACEMAKER
226,OTHERS,IMPLANT,Z95 (CARDIAC/VASC IMPL/GRAFT),Z95,CARDIAC/VASC IMPL/GRAFT,Z952 (PROSTHETIC HEART VALVE),Z952,PROSTHETIC HEART VALVE
227,OTHERS,IMPLANT,Z95 (CARDIAC/VASC IMPL/GRAFT),Z95,CARDIAC/VASC IMPL/GRAFT,Z954 (OTH HEART VALVE REPLACE),Z954,OTH HEART VALVE REPLACE
228,OTHERS,IMPLANT,Z95 (CARDIAC/VASC IMPL/GRAFT),Z95,CARDIAC/VASC IMPL/GRAFT,Z955 (CORO ANGIOPL IMPL/GRAFT),Z955,CORO ANGIOPL IMPL/GRAFT
229,OTHERS,IMPLANT,Z95 (CARDIAC/VASC IMPL/GRAFT),Z95,CARDIAC/VASC IMPL/GRAFT,Z958 (OTH CARD/VASC IMPL/GRAFT),Z958,OTH CARD/VASC IMPL/GRAFT
230,OTHERS,IMPLANT,Z95 (CARDIAC/VASC IMPL/GRAFT),Z95,CARDIAC/VASC IMPL/GRAFT,Z959 (CARD/VAS IMP/GRFT UNP),Z959,CARD/VAS IMP/GRFT UNP
231,OTHERS,INJURIES TO THE ELBOW AND FOREARM,S52 (FRACTURE OF FOREARM),S52,FRACTURE OF FOREARM,S520 (FRAC OF UPP END OF ULNA),S520,FRAC OF UPP END OF ULNA
232,OTHERS,INJURIES TO THE HIP AND THIGH,S72 (FRACTURE OF FEMUR),S72,FRACTURE OF FEMUR,S721 (PERTROCHANTERIC FRACTURE),S721,PERTROCHANTERIC FRACTURE
233,OTHERS,OTHER,R55 (SYNCOPE AND COLLAPSE),R55,SYNCOPE AND COLLAPSE,R550 (SYNCOPE AND COLLAPSE),R550,SYNCOPE AND COLLAPSE
234,OTHERS,OTHER,R68 (OTH GEN SYM/SIGNS),R68,OTH GEN SYM/SIGNS,R688 (OTH SPEC GENL SYM/SIGNS),R688,OTH SPEC GENL SYM/SIGNS
235,OTHERS,OTHER,Z41 (PROCED NOT REMED HEALTH),Z41,PROCED NOT REMED HEALTH,Z418 (OTH PROC NOT TO REM HLTH),Z418,OTH PROC NOT TO REM HLTH
236,OTHERS,OTHER,Z49 (CARE INVOLVING DIALYSIS),Z49,CARE INVOLVING DIALYSIS,Z491 (EXTRACORPOREAL DIALYSIS),Z491,EXTRACORPOREAL DIALYSIS
237,OTHERS,OTHER,Z50 (CARE INVOL REHAB PROCED),Z50,CARE INVOL REHAB PROCED,Z502 (ALCOHOL REHABILITATION),Z502,ALCOHOL REHABILITATION
238,OTHERS,OTHER,Z51 (OTHER MEDICAL CARE),Z51,OTHER MEDICAL CARE,Z518 (OTH SPEC MEDICAL CARE),Z518,OTH SPEC MEDICAL CARE
239,OTHERS,OTHER,Z56 (PROB RLTD EMP/UNEMP),Z56,PROB RLTD EMP/UNEMP,Z560 (UNEMPLOYMENT UNSP),Z560,UNEMPLOYMENT UNSP
240,OTHERS,OTHER,Z71 (PER ENC OTH COUN/ADV NEC),Z71,PER ENC OTH COUN/ADV NEC,Z719 (COUNSELLING UNSPECIFIED),Z719,COUNSELLING UNSPECIFIED
241,OTHERS,OTHER,Z73 (PROB LFE MNGMNT DIFF),Z73,PROB LFE MNGMNT DIFF,Z733 (STRESS NEC),Z733,STRESS NEC
242,OTHERS,OTHER,Z74 (PROB REL CARE PROV DEP),Z74,PROB REL CARE PROV DEP,Z740 (REDUCED MOBILITY),Z740,REDUCED MOBILITY
243,OTHERS,OTHER,Z75 (PROB MED FAC/HLTH CARE),Z75,PROB MED FAC/HLTH CARE,Z753 (UNAVL/INACCESS HLTH FAC),Z753,UNAVL/INACCESS HLTH FAC
244,OTHERS,OTHER,Z76 (PER ENC HLTH SER OTH CIR),Z76,PER ENC HLTH SER OTH CIR,Z769 (PER ENC HLTH SERV UN CIR),Z769,PER ENC HLTH SERV UN CIR
245,OTHERS,OTHER,Z82 (F/H DISB/DIS CAUSE DISB),Z82,F/H DISB/DIS CAUSE DISB,Z823 (FAMILY HISTORY OF STROKE),Z823,FAMILY HISTORY OF STROKE
246,OTHERS,OTHER,Z82 (F/H DISB/DIS CAUSE DISB),Z82,F/H DISB/DIS CAUSE DISB,Z824 (F/H ISCH HRT/DIS CIR SYS),Z824,F/H ISCH HRT/DIS CIR SYS
247,OTHERS,OTHER,Z83 (F/H OTH SPEC DISORD),Z83,F/H OTH SPEC DISORD,Z833 (FAM HIST D.MELL),Z833,FAM HIST D.MELL
248,OTHERS,OTHER,Z87 (P/H OTH DIS/COND),Z87,P/H OTH DIS/COND,Z878 (PER HIS OTH SPEC CONDS),Z878,PER HIS OTH SPEC CONDS
249,OTHERS,OTHER,Z92 (P/H MED TREAT),Z92,P/H MED TREAT,Z922 (P/H LNG TERM OTH MED),Z922,P/H LNG TERM OTH MED
250,OTHERS,REPEAT PRESCRIPTION,Z76 (PER ENC HLTH SER OTH CIR),Z76,PER ENC HLTH SER OTH CIR,Z760 (ISSUE REP PRESCRIPT),Z760,ISSUE REP PRESCRIPT
251,RESPIRATORY,ASTHMA,J45 (ASTHMA),J45,ASTHMA,J459 (ASTHMA UNSPECIFIED),J459,ASTHMA UNSPECIFIED
252,RESPIRATORY,OTHER DISEASES OF THE RESPIRATORY SYSTEM,J96 (RESPIRATORY FAILURE NEC),J96,RESPIRATORY FAILURE NEC,J960 (AC RESP FAILURE),J960,AC RESP FAILURE
253,RESPIRATORY,OTHER DISEASES OF THE RESPIRATORY SYSTEM,J98 (OTH RESP DIS),J98,OTH RESP DIS,J981 (PULMONARY COLLAPSE),J981,PULMONARY COLLAPSE
254,RESPIRATORY,OTHER DISEASES OF THE RESPIRATORY SYSTEM,J98 (OTH RESP DIS),J98,OTH RESP DIS,J987 (RESPIRAT INFECTIONS NEC),J987,RESPIRAT INFECTIONS NEC
255,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED
