product_key,portfolio_key,product_label,local_brand_name,int_corporation_name,corporation_group,atc4_raw,atc4_code,atc4_description,molecule_combo,molecule_count,is_combo_molecule,has_not_coded_molecule
83,85,NEBILOX,NEBILOX,MENARINI,MENARINI,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",NEBIVOLOL,1,False,False
84,86,NOBISTAR,NOBISTAR,MENARINI,MENARINI,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",NEBIVOLOL,1,False,False
85,87,SILOSTAR,SILOSTAR,MENARINI,MENARINI,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",NEBIVOLOL,1,False,False
86,88,CARDICOR,CARDICOR,MERCK KGAA,MERCK KGAA,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",BISOPROLOL,1,False,False
87,89,CONCOR,CONCOR,MERCK KGAA,MERCK KGAA,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",BISOPROLOL,1,False,False
88,90,CONGESCOR,CONGESCOR,MERCK KGAA,MERCK KGAA,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",BISOPROLOL,1,False,False
89,91,EMCONCOR,EMCONCOR,MERCK KGAA,MERCK KGAA,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",BISOPROLOL,1,False,False
90,92,EMCONCOR COR,EMCONCOR COR,MERCK KGAA,MERCK KGAA,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",BISOPROLOL,1,False,False
91,93,OMERIA,OMERIA,NEOPHARMED GENTILI,NEOPHARMED GENTILI,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",Not Coded,1,False,True
92,94,ATENOLOL NORMON,ATENOLOL NORMON,NORMON,NORMON,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",ATENOLOL,1,False,False
93,95,BISOPROLOL NORMON,BISOPROLOL NORMON,NORMON,NORMON,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",BISOPROLOL,1,False,False
94,96,CARVEDILOL NORMON,CARVEDILOL NORMON,NORMON,NORMON,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",CARVEDILOL,1,False,False
95,97,NEBIVOLOL NORMON,NEBIVOLOL NORMON,NORMON,NORMON,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",NEBIVOLOL,1,False,False
96,98,INDERAL,INDERAL,PHARMAIDEA,PHARMAIDEA,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",PROPRANOLOL,1,False,False
97,99,SUMIAL,SUMIAL,PHARMAIDEA,PHARMAIDEA,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",PROPRANOLOL,1,False,False
98,100,SUMIAL,SUMIAL,PHARMANOVIA,PHARMANOVIA,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",PROPRANOLOL,1,False,False
99,101,TENORMIN,TENORMIN,PHARMANOVIA,PHARMANOVIA,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",ATENOLOL,1,False,False
100,102,NOZAC,NOZAC,PHARMAZAC,PHARMAZAC,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",NEBIVOLOL,1,False,False
101,103,HEMANGIOL,HEMANGIOL,PIERRE FABRE,PIERRE FABRE,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",PROPRANOLOL,1,False,False
102,104,CARAVEL,CARAVEL,PROSPA,PROSPA,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",CARVEDILOL,1,False,False
103,105,ERVIDOL,ERVIDOL,RAFARM,RAFARM,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",CARVEDILOL,1,False,False
104,106,BELOKEN,BELOKEN,RECORDATI,RECORDATI,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",METOPROLOL,1,False,False
105,107,LOPRESOR,LOPRESOR,RECORDATI,RECORDATI,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",METOPROLOL,1,False,False
106,108,SELOKEN,SELOKEN,RECORDATI,RECORDATI,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",METOPROLOL,1,False,False
107,109,COROPRES,COROPRES,RUBIO,RUBIO,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",CARVEDILOL,1,False,False
108,110,SOTAPOR,SOTAPOR,RUBIO,RUBIO,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",SOTALOL,1,False,False
109,111,COLVER,COLVER,S.F.GROUP,S.F.GROUP,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",CARVEDILOL,1,False,False
110,112,CORDIAX,CORDIAX,S.F.GROUP,S.F.GROUP,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",CELIPROLOL,1,False,False
111,113,LOCARD,LOCARD,S.F.GROUP,S.F.GROUP,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",CARVEDILOL,1,False,False
112,114,NEBICARD,NEBICARD,S.F.GROUP,S.F.GROUP,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",NEBIVOLOL,1,False,False
113,115,TENOMAX,TENOMAX,S.F.GROUP,S.F.GROUP,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",ATENOLOL,1,False,False
114,116,LABETALOLO SAL,LABETALOLO SAL,SALF,SALF,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",LABETALOL,1,False,False
115,117,ATENOLOL SANDOZ,ATENOLOL SANDOZ,SANDOZ,SANDOZ,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",ATENOLOL,1,False,False
116,118,BISOPROLOL COR SAN,BISOPROLOL COR SAN,SANDOZ,SANDOZ,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",BISOPROLOL,1,False,False
117,119,BISOPROLOL SANDOZ,BISOPROLOL SANDOZ,SANDOZ,SANDOZ,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",BISOPROLOL,1,False,False
118,120,BISOPROLOLO SAN,BISOPROLOLO SAN,SANDOZ,SANDOZ,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",BISOPROLOL,1,False,False
119,121,CARVEDILOL SANDOZ,CARVEDILOL SANDOZ,SANDOZ,SANDOZ,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",CARVEDILOL,1,False,False
120,122,CARVEDILOLO HEX,CARVEDILOLO HEX,SANDOZ,SANDOZ,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",CARVEDILOL,1,False,False
121,123,CARVEDILOLO SAN,CARVEDILOLO SAN,SANDOZ,SANDOZ,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",CARVEDILOL,1,False,False
122,124,METOPROLOLO HEX,METOPROLOLO HEX,SANDOZ,SANDOZ,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",METOPROLOL,1,False,False
123,125,NEBIVOLOL SANDOZ,NEBIVOLOL SANDOZ,SANDOZ,SANDOZ,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",NEBIVOLOL,1,False,False
124,126,NEBIVOLOLO SAN,NEBIVOLOLO SAN,SANDOZ,SANDOZ,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",NEBIVOLOL,1,False,False
125,127,SOTALOLO HEX,SOTALOLO HEX,SANDOZ,SANDOZ,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",SOTALOL,1,False,False
126,128,ACARDEN,ACARDEN,SO.SE.PHARM,SO.SE.PHARM,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",CARVEDILOL,1,False,False
127,129,CURCIX,CURCIX,SO.SE.PHARM,SO.SE.PHARM,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",CARVEDILOL,1,False,False
128,130,NEBISCON,NEBISCON,SO.SE.PHARM,SO.SE.PHARM,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",NEBIVOLOL,1,False,False
129,131,ATENOLOLO EG,ATENOLOLO EG,STADA,STADA,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",ATENOLOL,1,False,False
130,132,BISOPROLOL STADA,BISOPROLOL STADA,STADA,STADA,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",BISOPROLOL,1,False,False
131,133,BISOPROLOLO EG,BISOPROLOLO EG,STADA,STADA,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",BISOPROLOL,1,False,False
132,134,CARVEDILOLO EG,CARVEDILOLO EG,STADA,STADA,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",CARVEDILOL,1,False,False
133,135,METOPROLOLO EG,METOPROLOLO EG,STADA,STADA,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",METOPROLOL,1,False,False
134,136,NEBIVOLOLO EG,NEBIVOLOLO EG,STADA,STADA,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",NEBIVOLOL,1,False,False
135,137,ATENOLOL MUNDOGEN,ATENOLOL MUNDOGEN,SUN PHARMA,SUN PHARMA,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",ATENOLOL,1,False,False
136,138,SELES BETA,SELES BETA,TEOFARMA,TEOFARMA,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",ATENOLOL,1,False,False
137,139,TRANDATE,TRANDATE,TEOFARMA,TEOFARMA,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",LABETALOL,1,False,False
138,140,ATENOLOL RATIO,ATENOLOL RATIO,TEVA,TEVA,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",ATENOLOL,1,False,False
139,141,ATENOLOLO RAT,ATENOLOLO RAT,TEVA,TEVA,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",ATENOLOL,1,False,False
140,142,BISOPROLOL RATIO,BISOPROLOL RATIO,TEVA,TEVA,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",BISOPROLOL,1,False,False
141,143,BISOPROLOL TEVA,BISOPROLOL TEVA,TEVA,TEVA,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",BISOPROLOL,1,False,False
142,144,BISOPROLOLO TEV,BISOPROLOLO TEV,TEVA,TEVA,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",BISOPROLOL,1,False,False
143,145,CARVEDILOL RATIO,CARVEDILOL RATIO,TEVA,TEVA,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",CARVEDILOL,1,False,False
144,146,CARVEDILOL TEVA,CARVEDILOL TEVA,TEVA,TEVA,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",CARVEDILOL,1,False,False
145,147,CARVEDILOLO RAT,CARVEDILOLO RAT,TEVA,TEVA,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",CARVEDILOL,1,False,False
146,148,NEBIVOLOLO TEV,NEBIVOLOLO TEV,TEVA,TEVA,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",NEBIVOLOL,1,False,False
147,149,SOTALOLO TEV,SOTALOLO TEV,TEVA,TEVA,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",SOTALOL,1,False,False
148,150,ATENOLOLO PNS,ATENOLOLO PNS,TOWA PHARMA,TOWA PHARMA,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",ATENOLOL,1,False,False
149,151,BISOPROLOL PENSA,BISOPROLOL PENSA,TOWA PHARMA,TOWA PHARMA,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",BISOPROLOL,1,False,False
150,152,BISOPROLOLO PNS,BISOPROLOLO PNS,TOWA PHARMA,TOWA PHARMA,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",BISOPROLOL,1,False,False
151,153,BLOCATENS,BLOCATENS,UNI-PHARMA,UNI-PHARMA,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",BISOPROLOL,1,False,False
152,154,THERACOR,THERACOR,UNI-PHARMA,UNI-PHARMA,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",BISOPROLOL,1,False,False
153,155,BISOPROLOL COR VIA,BISOPROLOL COR VIA,VIATRIS,VIATRIS,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",BISOPROLOL,1,False,False
154,156,BISOPROLOL VIATRIS,BISOPROLOL VIATRIS,VIATRIS,VIATRIS,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",BISOPROLOL,1,False,False
155,157,BISOPROLOLO MGI,BISOPROLOLO MGI,VIATRIS,VIATRIS,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",BISOPROLOL,1,False,False
156,158,CARVEDILOL GENERIC,CARVEDILOL GENERIC,VIATRIS,VIATRIS,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",CARVEDILOL,1,False,False
157,159,CARVEDILOL/MYLAN,CARVEDILOL/MYLAN,VIATRIS,VIATRIS,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",CARVEDILOL,1,False,False
158,160,CARVEDILOLO MGI,CARVEDILOLO MGI,VIATRIS,VIATRIS,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",CARVEDILOL,1,False,False
159,161,NEBIVOLOLO MGI,NEBIVOLOLO MGI,VIATRIS,VIATRIS,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",NEBIVOLOL,1,False,False
160,162,RYTMOBETA,RYTMOBETA,VIATRIS,VIATRIS,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",SOTALOL,1,False,False
161,163,SOTALOL/GENERICS,SOTALOL/GENERICS,VIATRIS,VIATRIS,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",SOTALOL,1,False,False
162,164,SOTALOL/MYLAN,SOTALOL/MYLAN,VIATRIS,VIATRIS,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",SOTALOL,1,False,False
163,165,CARVIPRESS,CARVIPRESS,VISUFARMA,VISUFARMA,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",CARVEDILOL,1,False,False
164,166,BISOPROLOLO ALM,BISOPROLOLO ALM,WALGREENS BOOTS AL,WALGREENS BOOTS AL,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",BISOPROLOL,1,False,False
165,167,CARVEDILOLO ALM,CARVEDILOLO ALM,WALGREENS BOOTS AL,WALGREENS BOOTS AL,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",CARVEDILOL,1,False,False
166,168,BISOPROLOLO ZEN,BISOPROLOLO ZEN,ZENTIVA,ZENTIVA,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",BISOPROLOL,1,False,False
167,169,CARVEDILOL COMBIX,CARVEDILOL COMBIX,ZYDUS LIFESCIENCES,ZYDUS LIFESCIENCES,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",CARVEDILOL,1,False,False
